embed_dim,n_layers,lr,l2,epoch,loss
32,2,0.001,0.0001,1,0.45223074167404537
32,2,0.001,0.0001,2,0.19585529850713862
32,2,0.001,0.0001,3,0.16340971708422686
32,2,0.001,0.0001,4,0.15222290425368076
32,2,0.001,0.0001,5,0.14599513931031996
32,2,0.001,0.0001,6,0.14189193204076536
32,2,0.001,0.0001,7,0.13710904007375366
32,2,0.001,0.0001,8,0.13338610495536332
32,2,0.001,0.0001,9,0.1296610790822241
32,2,0.001,0.0001,10,0.12572285169013142
32,2,0.001,0.0001,11,0.12268329494529301
32,2,0.001,0.0001,12,0.11901644201835997
32,2,0.001,0.0001,13,0.11666101182906632
32,2,0.001,0.0001,14,0.11343658111005459
32,2,0.001,0.0001,15,0.11016589888924073
32,2,0.001,0.0001,16,0.10752185821470725
32,2,0.001,0.0001,17,0.10508525516814406
32,2,0.001,0.0001,18,0.10252120878461522
32,2,0.001,0.0001,19,0.10025556091867403
32,2,0.001,0.0001,20,0.09902066877990398
32,2,0.001,0.0001,21,0.09744506836937158
32,2,0.001,0.0001,22,0.09593185052994162
32,2,0.001,0.0001,23,0.0947338193655014
32,2,0.001,0.0001,24,0.09272540997971529
32,2,0.001,0.0001,25,0.09086608135412824
32,2,0.001,0.0001,26,0.09032983576539177
32,2,0.001,0.0001,27,0.08870164628298778
32,2,0.001,0.0001,28,0.08754872152702864
32,2,0.001,0.0001,29,0.08644150836350283
32,2,0.001,0.0001,30,0.08468974044300476
32,2,0.001,0.0005,1,0.45429134100238233
32,2,0.001,0.0005,2,0.1999760141412667
32,2,0.001,0.0005,3,0.16805122948917453
32,2,0.001,0.0005,4,0.15737816966304738
32,2,0.001,0.0005,5,0.15152932281764048
32,2,0.001,0.0005,6,0.14773909721047124
32,2,0.001,0.0005,7,0.14326195643757875
32,2,0.001,0.0005,8,0.13969662485632506
32,2,0.001,0.0005,9,0.13626937037119075
32,2,0.001,0.0005,10,0.13248478810242387
32,2,0.001,0.0005,11,0.12959070569314296
32,2,0.001,0.0005,12,0.12598462855790896
32,2,0.001,0.0005,13,0.1237691082294632
32,2,0.001,0.0005,14,0.12060749818194087
32,2,0.001,0.0005,15,0.11718379496840811
32,2,0.001,0.0005,16,0.1143313053237817
32,2,0.001,0.0005,17,0.11156529260006591
32,2,0.001,0.0005,18,0.10874288029328333
32,2,0.001,0.0005,19,0.10618130330082255
32,2,0.001,0.0005,20,0.10457132698917289
32,2,0.001,0.0005,21,0.10275347477734964
32,2,0.001,0.0005,22,0.10122021047136819
32,2,0.001,0.0005,23,0.09985921297620677
32,2,0.001,0.0005,24,0.09781904526414112
32,2,0.001,0.0005,25,0.09590649276784381
32,2,0.001,0.0005,26,0.09536272329541873
32,2,0.001,0.0005,27,0.09396843110802788
32,2,0.001,0.0005,28,0.09283958045879
32,2,0.001,0.0005,29,0.09181975862265133
32,2,0.001,0.0005,30,0.09030916638656732
32,2,0.001,0.001,1,0.4556508739039583
32,2,0.001,0.001,2,0.2047468323252736
32,2,0.001,0.001,3,0.17439977996504283
32,2,0.001,0.001,4,0.1641469519405745
32,2,0.001,0.001,5,0.15800545463022195
32,2,0.001,0.001,6,0.15368945706065595
32,2,0.001,0.001,7,0.14841977272581006
32,2,0.001,0.001,8,0.14427418408591292
32,2,0.001,0.001,9,0.14045485496458518
32,2,0.001,0.001,10,0.13643223651737538
32,2,0.001,0.001,11,0.13364905834322954
32,2,0.001,0.001,12,0.13012146621755083
32,2,0.001,0.001,13,0.12831427302188095
32,2,0.001,0.001,14,0.12583363352956511
32,2,0.001,0.001,15,0.1230916631421703
32,2,0.001,0.001,16,0.121035844728007
32,2,0.001,0.001,17,0.11902583157741299
32,2,0.001,0.001,18,0.11693042857217088
32,2,0.001,0.001,19,0.11502564578186292
32,2,0.001,0.001,20,0.11393367820878199
32,2,0.001,0.001,21,0.11257844713498961
32,2,0.001,0.001,22,0.11131204930241503
32,2,0.001,0.001,23,0.11020168460577538
32,2,0.001,0.001,24,0.10838247715364713
32,2,0.001,0.001,25,0.10677003693343208
32,2,0.001,0.001,26,0.10624652384024746
32,2,0.001,0.001,27,0.1048536282227974
32,2,0.001,0.001,28,0.10372975543609955
32,2,0.001,0.001,29,0.10275364751523396
32,2,0.001,0.001,30,0.10120851401263063
32,2,0.0005,0.0001,1,0.5898095259376542
32,2,0.0005,0.0001,2,0.31196338469377355
32,2,0.0005,0.0001,3,0.21399390003966084
32,2,0.0005,0.0001,4,0.18203583387833722
32,2,0.0005,0.0001,5,0.16819066449656175
32,2,0.0005,0.0001,6,0.1612484269859406
32,2,0.0005,0.0001,7,0.15523079496884495
32,2,0.0005,0.0001,8,0.15161570434925192
32,2,0.0005,0.0001,9,0.14848107822723608
32,2,0.0005,0.0001,10,0.14527480599452863
32,2,0.0005,0.0001,11,0.14334317496675114
32,2,0.0005,0.0001,12,0.14090759510201728
32,2,0.0005,0.0001,13,0.14027640753009785
32,2,0.0005,0.0001,14,0.13841201335316683
32,2,0.0005,0.0001,15,0.13629836943664392
32,2,0.0005,0.0001,16,0.13449898084129677
32,2,0.0005,0.0001,17,0.1327343507976402
32,2,0.0005,0.0001,18,0.13081903936852948
32,2,0.0005,0.0001,19,0.12873781759846387
32,2,0.0005,0.0001,20,0.12787583345387216
32,2,0.0005,0.0001,21,0.1264781624203708
32,2,0.0005,0.0001,22,0.12498249660248027
32,2,0.0005,0.0001,23,0.12365529170763567
32,2,0.0005,0.0001,24,0.12109839725669325
32,2,0.0005,0.0001,25,0.11956822236441467
32,2,0.0005,0.0001,26,0.11846010663411902
32,2,0.0005,0.0001,27,0.11657436684055149
32,2,0.0005,0.0001,28,0.11523387184370489
32,2,0.0005,0.0001,29,0.1138382138727346
32,2,0.0005,0.0001,30,0.11207133740873956
32,2,0.0005,0.0005,1,0.5914945369371578
32,2,0.0005,0.0005,2,0.315961906463845
32,2,0.0005,0.0005,3,0.21850231780321094
32,2,0.0005,0.0005,4,0.18680824167573476
32,2,0.0005,0.0005,5,0.17297606851194888
32,2,0.0005,0.0005,6,0.1659397377907855
32,2,0.0005,0.0005,7,0.15978115725192385
32,2,0.0005,0.0005,8,0.15600764423421343
32,2,0.0005,0.0005,9,0.15274886168398946
32,2,0.0005,0.0005,10,0.1494170460123686
32,2,0.0005,0.0005,11,0.14736251175341117
32,2,0.0005,0.0005,12,0.14488591816065446
32,2,0.0005,0.0005,13,0.144000855647418
32,2,0.0005,0.0005,14,0.14202682202217215
32,2,0.0005,0.0005,15,0.13993122016296447
32,2,0.0005,0.0005,16,0.13811355059189367
32,2,0.0005,0.0005,17,0.1363788835501271
32,2,0.0005,0.0005,18,0.1345463382935374
32,2,0.0005,0.0005,19,0.13258393628979628
32,2,0.0005,0.0005,20,0.13174921808377751
32,2,0.0005,0.0005,21,0.13064065430336777
32,2,0.0005,0.0005,22,0.1292070115387315
32,2,0.0005,0.0005,23,0.12808987442052588
32,2,0.0005,0.0005,24,0.12574159079065364
32,2,0.0005,0.0005,25,0.124369827003474
32,2,0.0005,0.0005,26,0.12338319736331764
32,2,0.0005,0.0005,27,0.12187450780558635
32,2,0.0005,0.0005,28,0.12069438040194022
32,2,0.0005,0.0005,29,0.1193986276723054
32,2,0.0005,0.0005,30,0.11795179706761921
32,2,0.0005,0.001,1,0.5923051752259396
32,2,0.0005,0.001,2,0.3204141084253163
32,2,0.0005,0.001,3,0.22371781725178724
32,2,0.0005,0.001,4,0.19233512628503316
32,2,0.0005,0.001,5,0.17876825845591426
32,2,0.0005,0.001,6,0.17190642223793007
32,2,0.0005,0.001,7,0.1661115755762444
32,2,0.0005,0.001,8,0.16255031841605963
32,2,0.0005,0.001,9,0.1594283696990343
32,2,0.0005,0.001,10,0.1563914182363566
32,2,0.0005,0.001,11,0.1545549322786571
32,2,0.0005,0.001,12,0.15223591064007277
32,2,0.0005,0.001,13,0.15159424973858726
32,2,0.0005,0.001,14,0.14982915524416748
32,2,0.0005,0.001,15,0.14787789741901983
32,2,0.0005,0.001,16,0.14619577268384537
32,2,0.0005,0.001,17,0.14460259791565142
32,2,0.0005,0.001,18,0.14283958886529416
32,2,0.0005,0.001,19,0.14105026211503666
32,2,0.0005,0.001,20,0.1402584600654788
32,2,0.0005,0.001,21,0.13915771244394454
32,2,0.0005,0.001,22,0.1378570373328227
32,2,0.0005,0.001,23,0.1366791031957922
32,2,0.0005,0.001,24,0.13437300241030986
32,2,0.0005,0.001,25,0.1330256108311737
32,2,0.0005,0.001,26,0.13202309639698803
32,2,0.0005,0.001,27,0.13051696207600819
32,2,0.0005,0.001,28,0.12922150718216127
32,2,0.0005,0.001,29,0.12790164345215452
32,2,0.0005,0.001,30,0.12632600535136848
32,3,0.001,0.0001,1,0.41962112427007725
32,3,0.001,0.0001,2,0.18758852523702746
32,3,0.001,0.0001,3,0.16434335496190708
32,3,0.001,0.0001,4,0.15546377674838532
32,3,0.001,0.0001,5,0.15023776723278892
32,3,0.001,0.0001,6,0.1466979907837304
32,3,0.001,0.0001,7,0.1420488523580993
32,3,0.001,0.0001,8,0.13876743192942637
32,3,0.001,0.0001,9,0.13532413253306844
32,3,0.001,0.0001,10,0.13177868135007922
32,3,0.001,0.0001,11,0.12940985768783517
32,3,0.001,0.0001,12,0.12634915817896025
32,3,0.001,0.0001,13,0.12445437820702479
32,3,0.001,0.0001,14,0.12157112152259054
32,3,0.001,0.0001,15,0.11853819754388598
32,3,0.001,0.0001,16,0.115739415198627
32,3,0.001,0.0001,17,0.11295753912668308
32,3,0.001,0.0001,18,0.10988696011669731
32,3,0.001,0.0001,19,0.10707225035134102
32,3,0.001,0.0001,20,0.10532969105168709
32,3,0.001,0.0001,21,0.10320569251505833
32,3,0.001,0.0001,22,0.10132054740902763
32,3,0.001,0.0001,23,0.09975333763305996
32,3,0.001,0.0001,24,0.09735991496522471
32,3,0.001,0.0001,25,0.09523233893157551
32,3,0.001,0.0001,26,0.09466455656589952
32,3,0.001,0.0001,27,0.09297337729788427
32,3,0.001,0.0001,28,0.09186367514060978
32,3,0.001,0.0001,29,0.09083537274749025
32,3,0.001,0.0001,30,0.08920671372231198
32,3,0.001,0.0005,1,0.41833320388129175
32,3,0.001,0.0005,2,0.19134900629895288
32,3,0.001,0.0005,3,0.17021293978771074
32,3,0.001,0.0005,4,0.16256536515253894
32,3,0.001,0.0005,5,0.15801025061737317
32,3,0.001,0.0005,6,0.1549273301970284
32,3,0.001,0.0005,7,0.15038652661836371
32,3,0.001,0.0005,8,0.14721171243948006
32,3,0.001,0.0005,9,0.14391684529041593
32,3,0.001,0.0005,10,0.14026801061642744
32,3,0.001,0.0005,11,0.1378083508969353
32,3,0.001,0.0005,12,0.13463579710237136
32,3,0.001,0.0005,13,0.13281532517581615
32,3,0.001,0.0005,14,0.12998400861299764
32,3,0.001,0.0005,15,0.126990426308329
32,3,0.001,0.0005,16,0.12437404559405844
32,3,0.001,0.0005,17,0.12189951309430525
32,3,0.001,0.0005,18,0.11919577911777317
32,3,0.001,0.0005,19,0.11660453602203033
32,3,0.001,0.0005,20,0.11510380633971976
32,3,0.001,0.0005,21,0.11323475598726633
32,3,0.001,0.0005,22,0.11142651860131658
32,3,0.001,0.0005,23,0.10990057424866678
32,3,0.001,0.0005,24,0.10770464874413528
32,3,0.001,0.0005,25,0.10572039543707666
32,3,0.001,0.0005,26,0.10499588500091364
32,3,0.001,0.0005,27,0.1033688210091501
32,3,0.001,0.0005,28,0.10217876249701723
32,3,0.001,0.0005,29,0.10111797040238571
32,3,0.001,0.0005,30,0.0994565983613332
32,3,0.001,0.001,1,0.42058275446326976
32,3,0.001,0.001,2,0.19843911053124713
32,3,0.001,0.001,3,0.17706913627543538
32,3,0.001,0.001,4,0.16927105616348595
32,3,0.001,0.001,5,0.1645317510301462
32,3,0.001,0.001,6,0.16144753867600198
32,3,0.001,0.001,7,0.15740081361754635
32,3,0.001,0.001,8,0.15456300505302237
32,3,0.001,0.001,9,0.15181838222769573
32,3,0.001,0.001,10,0.1487146431201409
32,3,0.001,0.001,11,0.14663575160116019
32,3,0.001,0.001,12,0.14388043341271783
32,3,0.001,0.001,13,0.1423095394261728
32,3,0.001,0.001,14,0.1396720104341237
32,3,0.001,0.001,15,0.13659268484862847
32,3,0.001,0.001,16,0.13390975945338263
32,3,0.001,0.001,17,0.13115021814465272
32,3,0.001,0.001,18,0.12813947017087876
32,3,0.001,0.001,19,0.12534754256282463
32,3,0.001,0.001,20,0.12352008466263237
32,3,0.001,0.001,21,0.12146716144724712
32,3,0.001,0.001,22,0.11959129693748066
32,3,0.001,0.001,23,0.11791472015140941
32,3,0.001,0.001,24,0.11566946738296086
32,3,0.001,0.001,25,0.11369726188340278
32,3,0.001,0.001,26,0.11294711079737425
32,3,0.001,0.001,27,0.11140261955980985
32,3,0.001,0.001,28,0.11024392766397705
32,3,0.001,0.001,29,0.10917686188370927
32,3,0.001,0.001,30,0.10761228898848628
32,3,0.0005,0.0001,1,0.5573191268514037
32,3,0.0005,0.0001,2,0.27545707755618626
32,3,0.0005,0.0001,3,0.19852271672939603
32,3,0.0005,0.0001,4,0.17499522099454948
32,3,0.0005,0.0001,5,0.16503536251356016
32,3,0.0005,0.0001,6,0.16018107652164354
32,3,0.0005,0.0001,7,0.15534736281670863
32,3,0.0005,0.0001,8,0.15254136913727415
32,3,0.0005,0.0001,9,0.14997640223997943
32,3,0.0005,0.0001,10,0.14719581924207056
32,3,0.0005,0.0001,11,0.1457091412141888
32,3,0.0005,0.0001,12,0.14341187605193076
32,3,0.0005,0.0001,13,0.14309630761668868
32,3,0.0005,0.0001,14,0.1414107070528986
32,3,0.0005,0.0001,15,0.1394922105240122
32,3,0.0005,0.0001,16,0.13776299813508489
32,3,0.0005,0.0001,17,0.13603548905509572
32,3,0.0005,0.0001,18,0.13409422556684203
32,3,0.0005,0.0001,19,0.13202009490638408
32,3,0.0005,0.0001,20,0.13120117792918248
32,3,0.0005,0.0001,21,0.12982764215339404
32,3,0.0005,0.0001,22,0.12828508636424127
32,3,0.0005,0.0001,23,0.12700383765017711
32,3,0.0005,0.0001,24,0.12434500860405669
32,3,0.0005,0.0001,25,0.12277236270017344
32,3,0.0005,0.0001,26,0.1216590470737881
32,3,0.0005,0.0001,27,0.11974996789134024
32,3,0.0005,0.0001,28,0.1184086781346573
32,3,0.0005,0.0001,29,0.11699723272703479
32,3,0.0005,0.0001,30,0.11528851882216816
32,3,0.0005,0.0005,1,0.5570241359669708
32,3,0.0005,0.0005,2,0.27816365418694056
32,3,0.0005,0.0005,3,0.20461269316558317
32,3,0.0005,0.0005,4,0.18256074187015836
32,3,0.0005,0.0005,5,0.1731774084098184
32,3,0.0005,0.0005,6,0.1685225433148678
32,3,0.0005,0.0005,7,0.16364353888939512
32,3,0.0005,0.0005,8,0.1606756594321013
32,3,0.0005,0.0005,9,0.15815441903953031
32,3,0.0005,0.0005,10,0.15518725686853038
32,3,0.0005,0.0005,11,0.15363812858953416
32,3,0.0005,0.0005,12,0.15137628982901824
32,3,0.0005,0.0005,13,0.15099388095442853
32,3,0.0005,0.0005,14,0.14939836648525182
32,3,0.0005,0.0005,15,0.14757826946191568
32,3,0.0005,0.0005,16,0.1460216174554275
32,3,0.0005,0.0005,17,0.14450488779967186
32,3,0.0005,0.0005,18,0.1428162638308867
32,3,0.0005,0.0005,19,0.14101516335140485
32,3,0.0005,0.0005,20,0.1404268773627981
32,3,0.0005,0.0005,21,0.13930393252482703
32,3,0.0005,0.0005,22,0.13805684375438051
32,3,0.0005,0.0005,23,0.1369361038040565
32,3,0.0005,0.0005,24,0.13451067687830334
32,3,0.0005,0.0005,25,0.13318460355014922
32,3,0.0005,0.0005,26,0.13221207209540614
32,3,0.0005,0.0005,27,0.1305337704296382
32,3,0.0005,0.0005,28,0.12934112061494552
32,3,0.0005,0.0005,29,0.12799614430473535
32,3,0.0005,0.0005,30,0.12631110487743993
32,3,0.0005,0.001,1,0.5572875747515721
32,3,0.0005,0.001,2,0.2811823873087545
32,3,0.0005,0.001,3,0.20915057346131066
32,3,0.0005,0.001,4,0.18798341244396674
32,3,0.0005,0.001,5,0.17920477710180063
32,3,0.0005,0.001,6,0.17493107283890122
32,3,0.0005,0.001,7,0.17029949607214337
32,3,0.0005,0.001,8,0.16768917297667177
32,3,0.0005,0.001,9,0.16517363348097172
32,3,0.0005,0.001,10,0.16248645753730517
32,3,0.0005,0.001,11,0.16109769249362266
32,3,0.0005,0.001,12,0.1589341163635254
32,3,0.0005,0.001,13,0.15862391857855976
32,3,0.0005,0.001,14,0.1569397733458933
32,3,0.0005,0.001,15,0.15523145236934005
32,3,0.0005,0.001,16,0.1537595965452414
32,3,0.0005,0.001,17,0.1522708441476402
32,3,0.0005,0.001,18,0.1507373419072893
32,3,0.0005,0.001,19,0.14909982076793346
32,3,0.0005,0.001,20,0.1484932316080579
32,3,0.0005,0.001,21,0.14744340611203913
32,3,0.0005,0.001,22,0.14633548854844375
32,3,0.0005,0.001,23,0.1453115867462548
32,3,0.0005,0.001,24,0.14299183824652145
32,3,0.0005,0.001,25,0.1418580640911806
32,3,0.0005,0.001,26,0.1409221833700654
32,3,0.0005,0.001,27,0.13941609967242247
32,3,0.0005,0.001,28,0.1382207997315085
32,3,0.0005,0.001,29,0.13695355322001115
